,num_cp
1068,3
1069,10
1070,5
1071,8
1072,7
1073,10
1074,7
1075,5
1076,6
1077,7
1078,9
1079,7
1080,8
1081,7
1082,7
1083,7
1084,7
1085,6
1086,8
1087,7
1088,6
1089,8
1090,8
1091,7
1092,7
1093,7
1094,8
1095,5
1096,4
1097,4
1098,6
1099,5
1100,6
1101,7
1102,4
1103,7
1104,7
1105,7
1106,9
1107,6
1108,4
1109,3
1110,5
1111,6
1112,7
1113,7
1114,6
1115,6
1116,5
1117,6
1118,7
1119,9
1120,5
1121,5
1122,6
1123,7
1124,8
1125,3
1126,6
1127,3
1128,6
1129,6
1130,5
1131,5
1132,9
1133,9
1134,5
1135,6
1136,8
1137,4
1138,8
1139,7
1140,8
1141,7
1142,8
1143,8
1144,7
1145,8
1146,8
1147,8
1148,11
1149,7
1150,3
1151,9
1152,7
1153,6
1154,5
1155,9
1156,8
1157,5
1158,7
1159,9
1160,9
1161,3
1162,8
1163,8
1164,9
1165,7
1166,7
1167,9
1168,9
1169,7
1170,6
1171,8
1172,5
1173,5
1174,6
1175,4
1176,8
1177,4
1178,7
1179,6
1180,5
1181,8
1182,6
1183,6
1184,8
1185,7
1186,5
1187,5
1188,5
1189,7
1190,7
1191,7
1192,7
1193,8
1194,8
1195,5
1196,4
1197,8
1198,7
1199,4
1200,7
1201,10
1202,6
1203,4
1204,9
1205,5
1206,5
1207,6
1208,8
1209,5
1210,3
1211,6
1212,6
1213,6
1214,6
1215,4
1216,8
1217,7
1218,8
1219,8
1220,7
1221,3
1222,5
1223,6
1224,5
1225,4
1226,6
1227,9
1228,8
1229,5
1230,7
1231,8
1232,9
1233,6
1234,10
1235,7
1236,4
1237,7
1238,5
1239,6
1240,8
1241,8
1242,7
1243,6
1244,7
1245,6
1246,4
1247,7
1248,7
1249,7
1250,7
1251,8
1252,9
1253,8
1254,8
1255,6
1256,6
1257,8
1258,9
1259,7
1260,5
1261,5
1262,3
1263,6
1264,7
1265,7
1266,8
1267,4
1268,5
1269,9
1270,2
1271,9
1272,8
1273,6
1274,8
1275,5
1276,8
1277,7
1278,5
1279,9
1280,5
1281,5
1282,2
1283,5
1284,6
1285,8
1286,6
1287,7
1288,6
1289,7
1290,5
1291,8
1292,9
1293,7
1294,7
1295,5
1296,7
1297,6
1298,5
1299,8
1300,5
1301,7
1302,9
1303,5
1304,7
1305,8
1306,6
1307,6
1308,3
1309,7
1310,7
1311,8
1312,6
1313,9
1314,8
1315,4
1316,5
1317,6
1318,8
1319,6
1320,7
1321,8
1322,6
1323,8
1324,6
1325,7
1326,5
1327,10
1328,6
1329,8
1330,6
1331,3
1332,4
1333,3
1334,8
1335,6
1336,8
1337,6
1338,6
1339,7
1340,4
1341,8
1342,7
1343,6
1344,3
1345,7
1346,8
1347,6
1348,8
1349,7
1350,5
1351,4
1352,7
1353,6
1354,8
1355,8
1356,5
1357,6
1358,4
1359,10
1360,5
1361,6
1362,6
1363,6
1364,6
1365,5
1366,4
1367,5
1368,9
1369,9
1370,5
1371,5
1372,5
1373,5
1374,7
1375,8
1376,7
1377,7
1378,7
1379,5
1380,5
1381,7
1382,4
1383,4
1384,6
1385,5
1386,8
1387,7
1388,8
1389,9
1390,8
1391,9
1392,8
1393,7
1394,9
1395,7
1396,8
1397,9
1398,8
1399,9
1400,6
1401,5
1402,9
1403,7
1404,8
1405,4
1406,6
1407,7
1408,6
1409,5
1410,5
1411,6
1412,5
1413,9
1414,5
1415,9
1416,7
1417,6
1418,7
1419,10
1420,6
1421,6
1422,6
1423,5
1424,6
1425,9
1426,6
1427,9
1428,5
1429,7
1430,4
1431,6
1432,6
1433,6
1434,9
1435,7
1436,7
1437,7
1438,7
1439,5
1440,9
1441,5
1442,6
1443,8
1444,10
1445,5
1446,7
1447,7
1448,7
1449,6
1450,5
1451,8
1452,8
1453,6
1454,5
1455,6
1456,7
1457,6
1458,5
1459,10
1460,7
1461,8
1462,8
1463,5
1464,7
1465,8
1466,4
1467,7
1468,9
1469,6
1470,8
1471,8
1472,6
1473,9
1474,5
1475,5
1476,8
1477,7
1478,5
1479,9
1480,5
1481,7
1482,4
1483,7
1484,5
1485,8
1486,7
1487,8
1488,7
1489,7
1490,8
1491,8
1492,10
1493,9
1494,7
1495,7
1496,6
1497,9
1498,8
1499,9
1500,8
1501,8
1502,8
1503,7
1504,6
1505,6
1506,7
1507,6
1508,8
1509,8
1510,6
1511,8
1512,10
1513,5
1514,9
1515,7
1516,7
1517,7
1518,6
1519,4
1520,9
1521,4
1522,7
1523,7
1524,5
1525,6
1526,7
1527,9
1528,5
1529,8
1530,4
1531,7
1532,7
1533,10
1534,7
1535,5
1536,5
1537,6
1538,8
1539,10
1540,7
1541,6
1542,6
1543,7
1544,5
1545,8
1546,6
1547,6
1548,5
1549,8
1550,4
1551,7
1552,5
1553,5
1554,6
1555,7
1556,6
1557,5
1558,6
1559,7
1560,7
1561,6
1562,7
1563,7
1564,9
1565,7
1566,6
1567,7
1568,6
1569,5
1570,6
1571,10
1572,7
1573,8
1574,10
1575,4
1576,4
1577,8
1578,5
1579,8
1580,7
1581,6
1582,5
1583,6
1584,9
1585,7
1586,5
1587,7
1588,7
1589,10
1590,5
1591,1
1592,6
1593,8
1594,5
1595,6
1596,7
1597,6
1598,3
1599,6
1600,6
1601,6
1602,5
1603,7
1604,6
1605,5
1606,5
1607,8
1608,5
1609,3
1610,7
1611,10
1612,7
1613,6
1614,6
1615,6
1616,8
1617,7
1618,6
1619,4
1620,7
1621,9
1622,8
1623,7
1624,4
1625,5
1626,5
1627,6
1628,4
1629,9
1630,4
1631,5
1632,6
1633,4
1634,5
1635,6
1636,6
1637,6
1638,8
1639,6
1640,5
1641,5
1642,6
1643,8
1644,7
1645,6
1646,8
1647,5
1648,6
1649,7
1650,5
1651,6
1652,5
1653,3
1654,8
1655,8
1656,8
1657,7
1658,7
1659,7
1660,5
1661,8
1662,10
1663,7
1664,7
1665,7
1666,8
1667,10
1668,8
1669,9
1670,8
1671,7
1672,5
1673,5
1674,6
1675,6
1676,6
1677,7
1678,6
1679,3
1680,8
1681,6
1682,4
1683,7
1684,6
1685,8
1686,5
1687,5
1688,9
1689,7
1690,9
1691,7
1692,7
1693,10
1694,8
1695,7
1696,7
1697,6
1698,8
1699,7
1700,7
1701,6
1702,7
1703,5
1704,7
1705,4
1706,6
1707,6
1708,6
1709,5
1710,4
1711,7
1712,10
1713,7
1714,7
1715,7
1716,6
1717,6
1718,8
1719,7
1720,8
1721,2
1722,8
1723,4
1724,6
1725,7
1726,8
1727,3
1728,6
1729,4
1730,9
1731,5
1732,7
1733,6
1734,3
1735,4
1736,6
1737,6
1738,5
1739,5
1740,7
1741,7
1742,6
1743,8
1744,7
1745,6
1746,6
1747,10
1748,2
1749,7
1750,8
1751,9
1752,8
1753,6
1754,7
1755,8
1756,4
1757,9
1758,8
1759,5
1760,7
1761,5
1762,8
1763,7
1764,6
1765,6
1766,9
1767,5
1768,7
1769,6
1770,7
1771,7
1772,4
1773,6
1774,10
1775,5
1776,7
1777,9
1778,5
1779,6
1780,6
1781,7
1782,8
1783,5
1784,5
1785,6
1786,7
1787,8
1788,5
1789,8
1790,10
1791,7
1792,7
1793,5
1794,8
1795,7
1796,4
1797,8
1798,5
1799,7
1800,5
1801,6
1802,5
1803,8
1804,6
1805,8
1806,8
1807,6
1808,8
1809,7
1810,6
1811,7
1812,7
1813,7
1814,7
1815,7
1816,7
1817,5
1818,6
1819,7
1820,6
1821,5
1822,8
1823,8
1824,7
1825,4
1826,7
1827,7
1828,6
1829,8
1830,7
1831,5
1832,9
1833,9
1834,7
1835,4
1836,7
1837,9
1838,6
1839,7
1840,8
1841,8
1842,7
1843,6
1844,5
1845,9
1846,6
1847,9
1848,6
1849,6
1850,7
1851,8
1852,8
1853,9
1854,7
1855,5
1856,7
1857,7
1858,5
1859,4
1860,9
1861,5
1862,6
1863,6
1864,3
1865,5
1866,4
1867,6
1868,7
1869,4
1870,8
1871,8
1872,6
1873,6
1874,4
1875,7
1876,8
1877,9
1878,8
1879,7
1880,7
1881,5
1882,7
1883,6
1884,11
1885,8
1886,6
1887,8
1888,7
1889,6
1890,11
1891,8
1892,6
1893,7
1894,6
1895,6
1896,8
1897,5
1898,8
1899,9
1900,6
1901,7
1902,6
1903,6
1904,10
1905,7
1906,9
1907,8
1908,9
1909,3
1910,6
1911,7
1912,8
1913,3
1914,4
1915,5
1916,6
1917,7
1918,8
1919,9
1920,3
1921,5
1922,5
1923,6
1924,6
1925,8
1926,7
1927,6
1928,8
1929,5
1930,7
1931,5
1932,7
1933,6
1934,5
1935,8
1936,5
1937,4
1938,6
1939,7
1940,6
1941,7
1942,7
1943,8
1944,7
1945,6
1946,6
1947,4
1948,8
1949,8
1950,7
1951,7
1952,6
1953,7
1954,9
1955,7
1956,5
1957,6
1958,6
1959,3
1960,6
1961,6
1962,9
1963,8
1964,7
1965,8
1966,8
1967,7
1968,6
1969,9
1970,9
1971,9
1972,8
1973,6
1974,7
1975,8
1976,9
1977,6
1978,4
1979,6
1980,8
1981,6
1982,4
1983,8
1984,6
1985,6
1986,9
1987,9
1988,6
1989,4
1990,8
1991,6
1992,6
1993,7
1994,7
1995,6
1996,6
1997,5
1998,6
1999,7
2000,5
2001,5
2002,6
2003,2
2004,6
2005,8
2006,5
2007,7
2008,10
2009,9
2010,5
2011,7
2012,7
2013,5
2014,8
2015,8
2016,9
2017,7
2018,7
2019,8
2020,7
2021,5
2022,5
2023,7
2024,5
2025,7
2026,5
2027,8
2028,6
2029,8
2030,8
2031,7
2032,6
2033,6
2034,5
2035,4
2036,8
2037,7
2038,6
2039,7
2040,6
2041,4
2042,8
2043,8
2044,5
2045,7
2046,4
2047,5
2048,9
2049,7
2050,5
2051,2
2052,8
2053,8
2054,9
2055,5
2056,9
2057,5
2058,5
2059,5
2060,7
2061,7
2062,7
2063,9
2064,4
2065,5
2066,5
2067,4
2068,7
2069,6
2070,8
2071,6
2072,6
2073,4
2074,5
2075,6
2076,8
2077,5
2078,6
2079,6
2080,6
2081,8
2082,7
2083,7
2084,9
2085,7
2086,4
2087,4
2088,6
2089,4
2090,6
2091,6
2092,8
2093,8
2094,8
2095,6
2096,6
2097,6
2098,8
2099,8
2100,3
2101,4
2102,7
2103,6
2104,5
2105,9
2106,10
2107,5
2108,8
2109,8
2110,6
2111,5
2112,3
2113,5
2114,12
2115,7
2116,8
2117,5
2118,9
2119,6
2120,2
2121,4
2122,6
2123,8
2124,6
2125,5
2126,6
2127,8
2128,6
2129,7
2130,6
2131,5
2132,5
2133,6
2134,4
2135,8
2136,7
2137,7
2138,7
2139,7
2140,6
2141,5
2142,6
2143,7
2144,7
2145,9
2146,4
2147,6
2148,6
2149,5
2150,7
2151,7
2152,5
2153,6
2154,5
2155,6
2156,4
2157,7
2158,7
2159,6
2160,6
