,num_cp,dim_cp_1,dim_cp_2,dim_cp_3,dim_cp_4,dim_cp_5,dim_cp_6,dim_cp_7,dim_cp_8,dim_cp_9,dim_cp_10,dim_cp_11,dim_cp_12,dim_cp_13,dim_cp_14,dim_cp_15
6765,4,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0
7575,5,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0
4327,7,1,1,1,1,2,3,3,0,0,0,0,0,0,0,0
147,12,1,1,1,1,1,1,1,2,2,2,2,3,0,0,0
6901,7,1,1,1,1,1,2,3,0,0,0,0,0,0,0,0
3088,7,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0
6198,5,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0
407,11,1,1,1,1,1,1,2,2,2,2,3,0,0,0,0
7243,4,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0
3456,8,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0
4182,9,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0
3576,8,1,1,1,1,2,2,3,3,0,0,0,0,0,0,0
3271,7,1,1,1,2,2,2,3,0,0,0,0,0,0,0,0
4940,6,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0
1031,9,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0
6766,5,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0
855,10,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0
3926,7,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0
78,13,1,1,1,1,1,1,1,1,2,2,2,2,2,0,0
2247,9,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0
5819,5,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0
7166,4,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0
7214,5,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0
6080,6,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0
5402,10,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0
788,10,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0
2279,7,1,1,1,1,1,4,4,0,0,0,0,0,0,0,0
4095,9,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0
3897,6,1,1,1,2,3,3,0,0,0,0,0,0,0,0,0
5118,6,1,1,1,2,2,4,0,0,0,0,0,0,0,0,0
6527,6,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0
3631,7,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0
7505,6,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0
424,11,1,1,1,1,1,1,2,2,2,2,2,0,0,0,0
392,11,1,1,1,1,1,1,2,2,2,2,2,0,0,0,0
5866,5,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0
7405,5,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0
4200,7,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0
2672,7,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0
7177,4,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0
5306,6,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0
3493,10,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0
1459,9,1,1,1,1,1,2,2,2,3,0,0,0,0,0,0
5670,6,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0
5302,5,1,1,2,2,4,0,0,0,0,0,0,0,0,0,0
5744,5,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0
3835,8,1,1,1,1,2,2,2,3,0,0,0,0,0,0,0
6862,5,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0
6083,5,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0
7465,5,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0
4724,5,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0
6099,6,1,1,1,2,3,3,0,0,0,0,0,0,0,0,0
2355,7,1,1,1,2,2,2,3,0,0,0,0,0,0,0,0
7752,4,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
2442,8,1,1,1,1,1,2,2,4,0,0,0,0,0,0,0
6734,4,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0
7199,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0
6112,6,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0
464,11,1,1,1,1,1,1,2,2,2,2,2,0,0,0,0
163,12,1,1,1,1,1,1,1,2,2,2,2,2,0,0,0
7288,4,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0
7030,4,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0
7517,3,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0
7781,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,10,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0
3084,9,1,1,1,1,1,1,2,2,4,0,0,0,0,0,0
900,11,1,1,1,1,1,1,2,2,2,2,2,0,0,0,0
6312,7,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0
4837,7,1,1,1,1,2,2,4,0,0,0,0,0,0,0,0
2293,9,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0
4481,7,1,1,1,1,1,2,4,0,0,0,0,0,0,0,0
4605,7,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0
3716,7,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0
6521,6,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0
1764,8,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0
1549,10,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0
3029,8,1,1,1,1,1,2,2,3,0,0,0,0,0,0,0
5933,6,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0
2044,8,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0
767,11,1,1,1,1,1,1,2,2,2,2,3,0,0,0,0
1508,10,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0
7623,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0
4517,6,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0
4219,7,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0
7016,4,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0
6560,5,1,1,2,3,4,0,0,0,0,0,0,0,0,0,0
3292,9,1,1,1,1,1,2,2,2,3,0,0,0,0,0,0
819,10,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0
1403,10,1,1,1,1,1,1,2,2,3,3,0,0,0,0,0
1382,9,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0
2148,8,1,1,1,2,2,2,2,3,0,0,0,0,0,0,0
1638,8,1,1,1,1,1,2,2,3,0,0,0,0,0,0,0
7543,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
399,11,1,1,1,1,1,1,2,2,2,2,3,0,0,0,0
882,10,1,1,1,1,1,2,2,2,2,3,0,0,0,0,0
3565,8,1,1,1,1,1,2,2,3,0,0,0,0,0,0,0
7013,7,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0
1179,9,1,1,1,2,2,2,2,2,2,0,0,0,0,0,0
